ts,qArr,instArr,startEx,endEx,flops
274.181776,274.162618,274.162618,274.162618,274.181776,32000000.000000
274.211053,274.181776,274.181776,274.181776,274.211053,32000000.000000
274.213386,273.967000,274.072000,274.114321,274.213386,32000000.000000
274.255846,274.213386,274.213386,274.213386,274.255846,32000000.000000
274.296000,274.255846,274.255846,274.255846,274.296000,32000000.000000
274.338321,274.296000,274.296000,274.296000,274.338321,32000000.000000
274.386618,273.976000,274.114321,274.162618,274.386618,32000000.000000
274.405776,274.118000,274.162618,274.181776,274.405776,32000000.000000
274.435053,274.140000,274.181776,274.211053,274.435053,32000000.000000
274.437386,274.200000,274.213386,274.255846,274.437386,32000000.000000
274.479846,274.437386,274.437386,274.437386,274.479846,32000000.000000
274.520000,274.227000,274.255846,274.296000,274.520000,32000000.000000
274.562321,274.274000,274.296000,274.338321,274.562321,32000000.000000
274.610618,274.313000,274.479846,274.520000,274.610618,32000000.000000
274.629776,274.610618,274.610618,274.610618,274.629776,32000000.000000
274.659053,274.629776,274.629776,274.629776,274.659053,32000000.000000
274.661386,274.659053,274.659053,274.659053,274.661386,32000000.000000
274.703846,274.661386,274.661386,274.661386,274.703846,32000000.000000
274.744000,274.703846,274.703846,274.703846,274.744000,32000000.000000
274.786321,274.318000,274.520000,274.562321,274.786321,32000000.000000
274.834618,274.550000,274.562321,274.610618,274.834618,32000000.000000
274.853776,274.554000,274.610618,274.629776,274.853776,32000000.000000
274.883053,274.619000,274.629776,274.659053,274.883053,32000000.000000
274.885386,274.622000,274.661386,274.703846,274.885386,32000000.000000
274.927846,274.885386,274.885386,274.885386,274.927846,32000000.000000
274.968000,274.651000,274.703846,274.744000,274.968000,32000000.000000
275.010321,274.691000,274.744000,274.786321,275.010321,32000000.000000
275.058618,274.772000,274.786321,274.834618,275.058618,32000000.000000
275.077776,274.822000,274.927846,274.968000,275.077776,32000000.000000
275.107053,275.077776,275.077776,275.077776,275.107053,32000000.000000
275.109386,275.107053,275.107053,275.107053,275.109386,32000000.000000
275.151846,275.109386,275.109386,275.109386,275.151846,32000000.000000
275.192000,275.151846,275.151846,275.151846,275.192000,32000000.000000
275.234321,274.929000,274.968000,275.010321,275.234321,32000000.000000
275.282618,274.982000,275.109386,275.151846,275.282618,32000000.000000
275.301776,275.282618,275.282618,275.282618,275.301776,32000000.000000
